gender;spkid;vowel;f0;F1;F2;F3
M;1;IY;160.;240.;2280.;2850.
M;1;IY;186.;280.;2400.;2790.
M;1;IH;203.;390.;2030.;2640.
M;1;IH;192.;310.;1980.;2550.
M;1;EH;161.;490.;1870.;2420.
M;1;EH;155.;570.;1700.;2600.
M;1;AE;140.;560.;1820.;2660.
M;1;AE;180.;630.;1700.;2550.
M;1;AH;144.;590.;1250.;2620.
M;1;AH;148.;620.;1300.;2530.
M;1;AA;148.;740.;1070.;2490.
M;1;AA;170.;800.;1060.;2640.
M;1;AO;161.;600.;970.;2280.
M;1;AO;158.;660.;980.;2220.
M;1;UH;163.;440.;1120.;2210.
M;1;UH;190.;400.;1070.;2280.
M;1;UW;160.;240.;1040.;2150.
M;1;UW;157.;270.;930.;2280.
M;1;ER;177.;370.;1520.;1670.
M;1;ER;164.;460.;1330.;1590.
M;2;IY;147.;220.;2220.;2910.
M;2;IY;148.;210.;2360.;3250.
M;2;IH;141.;410.;1890.;2680.
M;2;IH;139.;420.;1850.;2500.
M;2;EH;136.;500.;1760.;2590.
M;2;EH;135.;510.;1710.;2380.
M;2;AE;128.;690.;1610.;2560.
M;2;AE;131.;700.;1690.;2580.
M;2;AH;140.;650.;1080.;2420.
M;2;AH;125.;625.;1060.;2490.
M;2;AA;140.;650.;1040.;2450.
M;2;AA;136.;670.;1100.;2430.
M;2;AO;149.;580.;580.;2470.
M;2;AO;140.;560.;560.;2410.
M;2;UH;145.;450.;940.;1910.
M;2;UH;141.;410.;830.;2240.
M;2;UW;140.;280.;650.;3300.
M;2;UW;137.;260.;660.;3300.
M;2;ER;145.;510.;1210.;1570.
M;2;ER;145.;510.;1130.;1510.
M;3;IY;105.;250.;2180.;2680.
M;3;IY;111.;244.;2300.;2780.
M;3;IH;100.;400.;1930.;2610.
M;3;IH;104.;400.;1990.;2700.
M;3;EH;100.;550.;1810.;2500.
M;3;EH;95.;540.;1810.;2480.
M;3;AE;93.;630.;1710.;2400.
M;3;AE;94.;658.;1755.;2305.
M;3;AH;100.;600.;1200.;2320.
M;3;AH;105.;612.;1160.;2350.
M;3;AA;91.;640.;1080.;2140.
M;3;AA;94.;720.;1090.;2230.
M;3;AO;92.;550.;870.;2300.
M;3;AO;120.;540.;840.;2280.
M;3;UH;114.;460.;1150.;2290.
M;3;UH;114.;456.;1030.;2300.
M;3;UW;112.;340.;950.;2240.
M;3;UW;112.;326.;900.;2190.
M;3;ER;100.;500.;1370.;1780.
M;3;ER;106.;530.;1330.;1800.
M;4;IY;150.;300.;2240.;3400.
M;4;IY;156.;280.;2450.;3200.
M;4;IH;156.;450.;1960.;2400.
M;4;IH;146.;440.;2050.;2360.
M;4;EH;130.;570.;1780.;2410.
M;4;EH;150.;555.;1890.;2440.
M;4;AE;125.;750.;1610.;2340.
M;4;AE;136.;770.;1580.;2350.
M;4;AH;132.;660.;1200.;2330.
M;4;AH;150.;675.;1140.;2380.
M;4;AA;125.;750.;1100.;2550.
M;4;AA;138.;800.;1120.;2500.
M;4;AO;143.;540.;850.;2320.
M;4;AO;150.;555.;890.;2370.
M;4;UH;136.;460.;960.;2210.
M;4;UH;156.;460.;1000.;2350.
M;4;UW;140.;380.;950.;2050.
M;4;UW;148.;385.;850.;2330.
M;4;ER;150.;590.;1400.;1840.
M;4;ER;145.;555.;1430.;1730.
M;5;IY;140.;310.;2310.;2820.
M;5;IY;131.;260.;2250.;2850.
M;5;IH;137.;440.;2060.;2640.
M;5;IH;134.;430.;1880.;2450.
M;5;EH;140.;580.;1910.;2500.
M;5;EH;137.;550.;1770.;2400.
M;5;AE;143.;830.;1720.;2180.
M;5;AE;135.;750.;1690.;2320.
M;5;AH;136.;630.;1300.;1950.
M;5;AH;130.;650.;1170.;2000.
M;5;AA;131.;760.;1220.;2140.
M;5;AA;126.;720.;1260.;2020.
M;5;AO;136.;540.;970.;1980.
M;5;AO;124.;550.;880.;1950.
M;5;UH;133.;470.;1040.;1990.
M;5;UH;132.;490.;990.;1920.
M;5;UW;141.;380.;950.;2140.
M;5;UW;133.;330.;800.;2130.
M;5;ER;143.;560.;1510.;1800.
M;5;ER;136.;510.;1460.;1700.
M;6;IY;125.;312.;2350.;2800.
M;6;IY;119.;330.;2430.;2870.
M;6;IH;133.;420.;2000.;2660.
M;6;IH;125.;313.;2000.;2750.
M;6;EH;120.;600.;1860.;2500.
M;6;EH;114.;570.;1830.;2570.
M;6;AE;119.;676.;1670.;2540.
M;6;AE;125.;725.;1687.;2500.
M;6;AH;118.;680.;1150.;2560.
M;6;AH;125.;726.;1270.;2560.
M;6;AA;125.;740.;1100.;2680.
M;6;AA;113.;670.;960.;2650.
M;6;AO;120.;660.;1030.;2690.
M;6;AO;125.;720.;960.;2700.
M;6;UH;120.;456.;1080.;2520.
M;6;UH;120.;450.;1140.;2600.
M;6;UW;125.;313.;838.;2340.
M;6;UW;125.;288.;938.;2450.
M;6;ER;120.;503.;1305.;1775.
M;6;ER;120.;505.;1320.;1750.
M;7;IY;186.;320.;2320.;3120.
M;7;IY;172.;310.;2280.;3020.
M;7;IH;167.;470.;2000.;2660.
M;7;IH;170.;410.;2040.;2715.
M;7;EH;167.;630.;1900.;2860.
M;7;EH;146.;614.;1840.;2770.
M;7;AE;143.;740.;1800.;2450.
M;7;AE;162.;775.;1810.;2200.
M;7;AH;167.;620.;1240.;2410.
M;7;AH;160.;640.;1250.;2400.
M;7;AA;162.;650.;970.;2580.
M;7;AA;163.;650.;980.;2350.
M;7;AO;145.;430.;720.;2450.
M;7;AO;171.;510.;800.;2500.
M;7;UH;170.;460.;1120.;2150.
M;7;UH;170.;493.;1120.;2300.
M;7;UW;175.;380.;1040.;2260.
M;7;UW;200.;400.;1000.;2350.
M;7;ER;167.;570.;1300.;1750.
M;7;ER;157.;565.;1370.;1710.
M;8;IY;105.;230.;2480.;3200.
M;8;IY;109.;218.;2380.;3100.
M;8;IH;110.;320.;2200.;2680.
M;8;IH;103.;206.;2130.;2570.
M;8;EH;107.;430.;2100.;2630.
M;8;EH;105.;515.;1760.;2470.
M;8;AE;107.;514.;2060.;2600.
M;8;AE;106.;552.;1820.;2500.
M;8;AH;108.;640.;1300.;2300.
M;8;AH;104.;624.;1350.;2410.
M;8;AA;111.;714.;1170.;2420.
M;8;AA;97.;650.;1150.;2350.
M;8;AO;107.;590.;965.;2500.
M;8;AO;109.;578.;970.;2460.
M;8;UH;111.;467.;1110.;2400.
M;8;UH;105.;475.;1220.;2310.
M;8;UW;107.;270.;910.;2200.
M;8;UW;108.;260.;975.;2320.
M;8;ER;107.;460.;1400.;1790.
M;8;ER;103.;425.;1410.;1760.
M;9;IY;175.;316.;2200.;2800.
M;9;IY;175.;280.;2275.;2775.
M;9;IH;167.;450.;1820.;2475.
M;9;IH;167.;434.;1850.;2425.
M;9;EH;157.;582.;1725.;2375.
M;9;EH;158.;586.;1800.;2425.
M;9;AE;150.;600.;1750.;2375.
M;9;AE;145.;582.;1775.;2375.
M;9;AH;145.;626.;1125.;2200.
M;9;AH;160.;641.;1120.;2225.
M;9;AA;144.;708.;1054.;2420.
M;9;AA;150.;705.;1050.;2375.
M;9;AO;146.;614.;848.;2200.
M;9;AO;143.;600.;860.;2175.
M;9;UH;167.;500.;1000.;2325.
M;9;UH;167.;500.;1000.;2325.
M;9;UW;167.;334.;1150.;2200.
M;9;UW;183.;312.;1020.;2300.
M;9;ER;157.;518.;1305.;1570.
M;9;ER;157.;504.;1210.;1510.
M;10;IY;129.;260.;2260.;2820.
M;10;IY;125.;250.;2200.;2825.
M;10;IH;146.;400.;2040.;2500.
M;10;IH;144.;389.;2000.;2425.
M;10;EH;126.;500.;1870.;2500.
M;10;EH;125.;500.;1775.;2450.
M;10;AE;110.;660.;1650.;2500.
M;10;AE;120.;624.;1700.;2475.
M;10;AH;122.;650.;1220.;2550.
M;10;AH;120.;672.;1260.;2500.
M;10;AA;114.;750.;1080.;2680.
M;10;AA;114.;777.;1026.;2625.
M;10;AO;115.;580.;800.;2650.
M;10;AO;117.;585.;819.;2625.
M;10;UH;140.;480.;950.;2500.
M;10;UH;127.;461.;993.;2350.
M;10;UW;140.;280.;950.;2300.
M;10;UW;133.;266.;920.;2300.
M;10;ER;128.;500.;1340.;1700.
M;10;ER;133.;532.;1275.;1600.
M;11;IY;146.;248.;2225.;3100.
M;11;IY;140.;238.;2175.;3075.
M;11;IH;150.;405.;1925.;2550.
M;11;IH;138.;416.;1940.;2600.
M;11;EH;147.;588.;1790.;2500.
M;11;EH;133.;586.;1725.;2650.
M;11;AE;145.;725.;1700.;2425.
M;11;AE;127.;710.;1650.;2220.
M;11;AH;136.;586.;1078.;2300.
M;11;AH;136.;627.;1038.;2360.
M;11;AA;145.;725.;1046.;2325.
M;11;AA;131.;746.;1018.;2300.
M;11;AO;140.;560.;840.;2500.
M;11;AO;140.;560.;924.;2350.
M;11;UH;150.;495.;1080.;2275.
M;11;UH;143.;430.;1030.;2275.
M;11;UW;162.;290.;760.;2300.
M;11;UW;157.;315.;850.;2025.
M;11;ER;150.;511.;1561.;1876.
M;11;ER;138.;530.;1450.;1887.
M;12;IY;110.;220.;2410.;3000.
M;12;IY;125.;240.;2440.;3280.
M;12;IH;120.;450.;1880.;2450.
M;12;IH;118.;380.;1930.;2420.
M;12;EH;115.;560.;1650.;2300.
M;12;EH;123.;560.;1720.;2300.
M;12;AE;110.;680.;1720.;2330.
M;12;AE;133.;630.;1680.;2280.
M;12;AH;110.;560.;1430.;2250.
M;12;AH;120.;560.;1390.;2240.
M;12;AA;108.;800.;1330.;2260.
M;12;AA;110.;740.;1240.;2280.
M;12;AO;120.;600.;920.;2080.
M;12;AO;133.;580.;910.;2000.
M;12;UH;130.;400.;1200.;2210.
M;12;UH;110.;420.;1230.;2230.
M;12;UW;122.;300.;900.;2130.
M;12;UW;123.;260.;1010.;2240.
M;12;ER;125.;400.;1450.;1650.
M;12;ER;128.;360.;1410.;1640.
M;13;IY;142.;290.;2290.;2600.
M;13;IY;135.;260.;2290.;2700.
M;13;IH;132.;390.;1950.;2550.
M;13;IH;135.;400.;1900.;2450.
M;13;EH;124.;490.;1740.;2500.
