a         ah
alternitve ao l cl t er n ah cl t ih v
an        ae n
are       aa r
beach     b iy ch
bricks    b r ih cl k s
computer  k ah m cl p y uw cl t er 
computers k ah m cl p y uw cl t er z
eight     ey cl t
five      f ay v
four      f ao r
friendly  f r eh n cl d l iy
human     hh y uw m ah n
in        ih n
me        m iy
nice      n ay s
nine      n ay n
one       w ah n
recognize r eh cl k ah cl g n ay z
seven     s eh v ah n
six       s ih cl k s
speech    s cl p iy ch
systems   s ih s cl t ah m z
ten       t eh n
the       dh ah
three     th r iy
to        t uw
two       t uw
ultimate  ah l cl t ah m ah cl t
user      y uw z er
word      w er cl d
wreck     r eh cl k
you       y uw
